ID,Age,Partial Discharge,Visual Condition,Natural Corrosion,Loading,Health Index
61,15,0.05,Good,0.45,355,5
62,19,0.08,Medium,0.51,617,4
63,21,0.11,Medium,0.58,566,4
64,40,0.51,Poor,0.85,349,3
65,16,0.06,Good,0.45,317,5
66,22,0.13,Medium,0.56,357,4
67,52,0.95,Poor,0.97,168,1
68,26,0.18,Medium,0.64,563,4
69,51,0.88,Poor,0.96,388,1
70,26,0.19,Medium,0.67,319,4
71,44,0.66,Poor,0.83,99,2
72,38,0.46,Poor,0.86,517,2
73,47,0.75,Poor,0.98,337,2
74,28,0.21,Poor,0.69,649,3
75,17,0.07,Good,0.48,611,5
76,47,0.79,Poor,0.91,223,2
77,31,0.27,Poor,0.7,309,3
78,27,0.2,Medium,0.67,98,4
79,46,0.71,Poor,0.88,451,2
80,49,0.88,Poor,0.9,619,1
81,50,0.9,Poor,0.99,465,1
82,51,0.93,Poor,0.95,193,1
83,23,0.13,Medium,0.59,316,4
84,35,0.37,Poor,0.79,635,3
85,30,0.25,Poor,0.7,337,3
86,32,0.29,Poor,0.74,393,3
87,52,0.92,Poor,0.93,308,1
88,21,0.11,Medium,0.59,391,4
89,16,0.05,Good,0.49,520,5
90,31,0.29,Poor,0.73,434,3
91,23,0.14,Medium,0.58,617,4
92,18,0.07,Medium,0.55,571,4
93,17,0.06,Good,0.51,561,5
94,40,0.52,Poor,0.84,451,3
95,25,0.17,Medium,0.65,637,4
96,21,0.11,Medium,0.6,306,4
97,16,0.06,Good,0.48,477,5
98,17,0.06,Good,0.51,403,5
99,29,0.23,Medium,0.67,501,4
100,43,0.59,Poor,0.89,437,2
101,49,0.79,Poor,0.98,556,2
102,32,0.31,Poor,0.77,143,3
103,48,0.76,Poor,0.9,510,2
104,21,0.11,Medium,0.59,110,4
105,42,0.58,Poor,0.88,509,2
106,41,0.53,Poor,0.87,284,2
107,24,0.15,Medium,0.6,93,4
108,39,0.47,Poor,0.86,497,2
109,19,0.09,Medium,0.56,276,4
110,15,0.05,Good,0.44,420,5
111,32,0.29,Poor,0.75,169,3
112,44,0.65,Poor,0.85,293,2
113,41,0.53,Poor,0.83,109,2
114,25,0.17,Medium,0.62,164,4
115,51,0.95,Poor,1,635,1
116,15,0.05,Good,0.49,517,5
117,32,0.29,Poor,0.77,375,3
118,36,0.39,Poor,0.76,320,3
119,44,0.67,Poor,0.93,295,2
120,30,0.26,Poor,0.72,628,3
121,50,0.9,Poor,0.99,418,1
122,39,0.49,Poor,0.79,511,3
123,31,0.27,Poor,0.73,124,3
124,27,0.2,Poor,0.65,565,3
125,29,0.25,Medium,0.67,370,4
126,52,0.97,Poor,0.99,557,1
127,16,0.06,Good,0.45,148,5
128,51,0.96,Poor,0.94,340,1
129,16,0.06,Good,0.49,636,5
130,31,0.29,Poor,0.75,543,3
131,25,0.16,Medium,0.65,473,4
132,26,0.18,Medium,0.68,515,4
133,27,0.2,Medium,0.65,372,4
134,29,0.24,Poor,0.7,331,3
135,37,0.43,Poor,0.81,471,3
136,50,0.9,Poor,0.94,363,1
137,52,0.99,Poor,0.96,71,1
138,27,0.2,Medium,0.62,385,4
139,21,0.1,Medium,0.54,546,4
140,46,0.74,Poor,0.89,267,2
141,21,0.11,Medium,0.53,588,4
142,26,0.19,Medium,0.68,518,4
143,47,0.75,Poor,0.98,430,2
144,37,0.43,Poor,0.8,72,3
145,29,0.23,Poor,0.72,320,3
146,25,0.16,Medium,0.62,211,4
147,16,0.06,Good,0.49,506,5
148,17,0.06,Good,0.5,97,5
149,16,0.05,Good,0.45,375,5
150,49,0.88,Poor,0.95,618,1
151,41,0.54,Poor,0.9,216,2
152,28,0.23,Poor,0.65,184,3
153,26,0.17,Medium,0.65,498,4
154,18,0.08,Medium,0.5,154,4
155,20,0.1,Medium,0.56,610,4
156,19,0.09,Medium,0.5,587,4
157,29,0.24,Poor,0.68,83,3
158,32,0.29,Poor,0.72,468,3
159,34,0.35,Poor,0.77,70,3
160,41,0.55,Poor,0.87,265,2
161,16,0.06,Good,0.46,126,5
162,32,0.31,Poor,0.69,620,3
163,17,0.06,Good,0.53,280,5
164,15,0.05,Good,0.44,449,5
165,38,0.44,Poor,0.85,609,2
166,51,0.93,Poor,0.98,143,1
167,24,0.15,Medium,0.64,362,4
168,36,0.41,Poor,0.82,590,3
169,22,0.12,Medium,0.58,267,4
170,28,0.22,Poor,0.66,550,3
171,52,0.95,Poor,1,97,1
172,38,0.48,Poor,0.77,131,3
173,34,0.36,Poor,0.77,423,3
174,49,0.84,Poor,0.9,630,2
175,18,0.08,Medium,0.5,230,4
176,47,0.74,Poor,0.97,226,2
177,18,0.08,Good,0.53,240,5
178,50,0.88,Poor,1,501,1
179,32,0.31,Poor,0.71,528,3
180,42,0.59,Poor,0.89,202,2
181,20,0.09,Medium,0.55,611,4
182,18,0.08,Medium,0.5,616,4
183,15,0.05,Good,0.46,279,5
184,36,0.4,Poor,0.81,332,3
185,51,0.89,Poor,0.93,403,1
186,51,0.92,Poor,0.94,448,1
187,36,0.39,Poor,0.83,89,3
188,30,0.27,Poor,0.66,401,3
189,34,0.36,Poor,0.74,357,3
190,22,0.12,Medium,0.59,464,4
191,16,0.06,Good,0.49,461,5
192,33,0.32,Poor,0.71,544,3
193,28,0.23,Poor,0.66,494,3
194,49,0.83,Poor,0.91,228,2
195,35,0.36,Poor,0.74,175,3
196,47,0.72,Poor,0.94,609,2
197,41,0.53,Poor,0.8,534,2
198,35,0.35,Poor,0.79,151,3
199,49,0.8,Poor,0.89,455,2
200,51,0.91,Poor,1,494,1
201,22,0.12,Medium,0.55,292,4
202,18,0.07,Good,0.53,471,5
203,37,0.41,Poor,0.77,396,3
204,44,0.64,Poor,0.85,465,2
205,50,0.83,Poor,0.94,248,2
206,32,0.31,Poor,0.77,355,3
207,30,0.27,Poor,0.7,165,3
208,31,0.27,Poor,0.68,575,3
209,36,0.38,Poor,0.75,546,3
210,15,0.05,Good,0.44,392,5
211,48,0.79,Poor,0.94,306,2
212,38,0.46,Poor,0.77,619,3
213,15,0.05,Good,0.46,230,5
214,43,0.63,Poor,0.87,426,2
215,16,0.06,Good,0.46,412,5
216,25,0.17,Medium,0.63,403,4
217,29,0.23,Poor,0.65,624,3
218,44,0.61,Poor,0.91,360,2
219,26,0.18,Medium,0.64,454,4
220,32,0.29,Poor,0.71,318,3
221,18,0.08,Medium,0.49,406,4
